report_link,report_txt,report_pdf
http://www.caap.gov.ph?download=3562,110.txt,110.pdf
http://www.caap.gov.ph?download=3559,111.txt,111.pdf
http://www.caap.gov.ph?download=3556,112.txt,112.pdf
http://www.caap.gov.ph?download=3553,113.txt,113.pdf
http://www.caap.gov.ph?download=3550,114.txt,114.pdf
http://www.caap.gov.ph?download=3545,115.txt,115.pdf
http://www.caap.gov.ph?download=3542,116.txt,116.pdf
http://www.caap.gov.ph?download=3539,117.txt,117.pdf
http://www.caap.gov.ph?download=3536,118.txt,118.pdf
http://www.caap.gov.ph?download=3533,119.txt,119.pdf
http://www.caap.gov.ph?download=3530,120.txt,120.pdf
http://www.caap.gov.ph?download=3527,121.txt,121.pdf
http://www.caap.gov.ph?download=3668,122.txt,122.pdf
http://www.caap.gov.ph?download=3665,123.txt,123.pdf
http://www.caap.gov.ph?download=3661,124.txt,124.pdf
http://www.caap.gov.ph?download=3657,125.txt,125.pdf
http://www.caap.gov.ph?download=3654,126.txt,126.pdf
http://www.caap.gov.ph?download=3651,127.txt,127.pdf
http://www.caap.gov.ph?download=3648,128.txt,128.pdf
http://www.caap.gov.ph?download=3645,129.txt,129.pdf
http://www.caap.gov.ph?download=3642,130.txt,130.pdf
http://www.caap.gov.ph?download=3639,131.txt,131.pdf
http://www.caap.gov.ph?download=3636,132.txt,132.pdf
http://www.caap.gov.ph?download=3633,133.txt,133.pdf
http://www.caap.gov.ph?download=3627,134.txt,134.pdf
http://www.caap.gov.ph?download=3624,135.txt,135.pdf
http://www.caap.gov.ph?download=3621,136.txt,136.pdf
https://www.caap.gov.ph?download=9829,137.txt,137.pdf
https://www.caap.gov.ph?download=9829,138.txt,138.pdf
